Date,Country,ActiveUsers
2023-09-04,Colombia,3079
2023-09-04,Mexico,1085
2023-09-04,Morocco,6053
2023-09-04,Paraguay,954
2023-09-04,Peru,860
2023-09-04,Spain,2793
2023-09-04,Uruguay,2280
2023-09-04,"Venezuela, Bolivarian Republic of",1253
2023-09-05,Argentina,12733
2023-09-05,Chile,2883
2023-09-05,Colombia,3110
2023-09-05,Mexico,1126
2023-09-05,Morocco,5928
2023-09-05,Paraguay,950
2023-09-05,Peru,898
2023-09-05,Spain,2982
2023-09-05,Uruguay,2289
2023-09-05,"Venezuela, Bolivarian Republic of",1274
2023-09-06,Argentina,12764
2023-09-06,Chile,2876
2023-09-06,Colombia,3216
2023-09-06,Mexico,1148
2023-09-06,Morocco,5829
2023-09-06,Paraguay,1006
2023-09-06,Peru,933
2023-09-06,Spain,3069
2023-09-06,Uruguay,2281
2023-09-06,"Venezuela, Bolivarian Republic of",1342
2023-09-07,Argentina,12373
2023-09-07,Chile,2833
2023-09-07,Colombia,3002
2023-09-07,Mexico,1112
2023-09-07,Morocco,5471
2023-09-07,Paraguay,943
2023-09-07,Peru,904
2023-09-07,Spain,3061
2023-09-07,Uruguay,2131
2023-09-07,"Venezuela, Bolivarian Republic of",1263
2023-09-08,Argentina,11952
2023-09-08,Chile,2544
2023-09-08,Colombia,2798
2023-09-08,Mexico,1125
2023-09-08,Morocco,5254
2023-09-08,Paraguay,875
2023-09-08,Peru,862
2023-09-08,Spain,2870
2023-09-08,Uruguay,1972
2023-09-08,"Venezuela, Bolivarian Republic of",1221
2023-09-09,Argentina,6776
2023-09-09,Chile,1343
2023-09-09,Colombia,1796
2023-09-09,Mexico,767
2023-09-09,Morocco,3740
2023-09-09,Paraguay,576
2023-09-09,Peru,642
2023-09-09,Spain,2075
2023-09-09,Uruguay,1022
2023-09-09,"Venezuela, Bolivarian Republic of",943
2023-09-10,Argentina,5416
2023-09-10,Chile,1117
2023-09-10,Colombia,1418
2023-09-10,Mexico,698
2023-09-10,Morocco,4029
2023-09-10,Paraguay,375
2023-09-10,Peru,527
2023-09-10,Spain,1720
2023-09-10,Uruguay,803
2023-09-10,"Venezuela, Bolivarian Republic of",804
2023-09-11,Argentina,10133
2023-09-11,Chile,2290
2023-09-11,Colombia,2823
2023-09-11,Mexico,1075
2023-09-11,Morocco,3628
2023-09-11,Paraguay,949
2023-09-11,Peru,879
2023-09-11,Spain,2875
2023-09-11,Uruguay,1913
2023-09-11,"Venezuela, Bolivarian Republic of",1180
2023-09-12,Argentina,11847
2023-09-12,Chile,2678
2023-09-12,Colombia,3022
2023-09-12,Mexico,1148
2023-09-12,Morocco,3573
2023-09-12,Paraguay,919
2023-09-12,Peru,819
2023-09-12,Spain,2969
2023-09-12,Uruguay,2032
2023-09-12,"Venezuela, Bolivarian Republic of",1118
2023-09-13,Argentina,12365
2023-09-13,Chile,2744
2023-09-13,Colombia,3083
2023-09-13,Mexico,1153
2023-09-13,Morocco,4226
2023-09-13,Paraguay,932
2023-09-13,Peru,818
2023-09-13,Spain,3060
2023-09-13,Uruguay,2071
2023-09-13,"Venezuela, Bolivarian Republic of",1174
2023-09-14,Argentina,12265
2023-09-14,Chile,2553
2023-09-14,Colombia,2929
2023-09-14,Mexico,1106
2023-09-14,Morocco,4564
2023-09-14,Paraguay,886
2023-09-14,Peru,857
2023-09-14,Spain,3083
2023-09-14,Uruguay,2002
2023-09-14,"Venezuela, Bolivarian Republic of",1221
2023-09-15,Argentina,11466
2023-09-15,Chile,1878
2023-09-15,Colombia,2410
2023-09-15,Mexico,874
2023-09-15,Morocco,4878
2023-09-15,Paraguay,860
2023-09-15,Peru,759
2023-09-15,Spain,2837
2023-09-15,Uruguay,1685
2023-09-15,"Venezuela, Bolivarian Republic of",1129
2023-09-16,Argentina,6520
2023-09-16,Chile,937
2023-09-16,Colombia,1528
2023-09-16,Mexico,604
2023-09-16,Morocco,4612
2023-09-16,Paraguay,489
2023-09-16,Peru,542
2023-09-16,Spain,1711
2023-09-16,Uruguay,751
2023-09-16,"Venezuela, Bolivarian Republic of",852
