date,country,cost,cost_type
2023-09-11,Kazakhstan,0.11209890000000002,whisper_price
2023-09-11,Korea,0.021047133333333336,whisper_price
2023-09-11,Kuwait,0.00264535,whisper_price
2023-09-11,Kyrgyzstan,0.00784245,whisper_price
2023-09-11,Lebanon,0.012111783333333334,whisper_price
2023-09-11,Liechtenstein,0.00151335,whisper_price
2023-09-11,Luxembourg,0.006336700000000001,whisper_price
2023-09-11,Malaysia,0.19701566666666667,whisper_price
2023-09-11,Maldives,0.004167981859410431,whisper_price
2023-09-11,Mali,0.009211183333333334,whisper_price
2023-09-11,Malta,0.007705066666666667,whisper_price
2023-09-11,Mexico,12.354419970946712,whisper_price
2023-09-11,Moldova,0.00023135,whisper_price
2023-09-11,Monaco,0.005971783333333333,whisper_price
2023-09-11,Morocco,1.3506171019982995,whisper_price
2023-09-11,Mozambique,0.07766421666666667,whisper_price
2023-09-11,Myanmar,0.1363423666666667,whisper_price
2023-09-11,Netherlands,0.19836424671201813,whisper_price
2023-09-11,New Zealand,0.27524506041666663,whisper_price
2023-09-11,Nicaragua,0.27517283333333337,whisper_price
2023-09-11,Niger,0.08602323333333334,whisper_price
2023-09-11,Nigeria,0.019148266666666667,whisper_price
2023-09-11,Norway,0.017813183333333333,whisper_price
2023-09-11,Oman,0.008579616666666666,whisper_price
2023-09-11,Pakistan,0.056123788662131524,whisper_price
2023-09-11,Palau,0.005391783333333334,whisper_price
2023-09-11,Palestine,0.026719466666666667,whisper_price
2023-09-11,Panama,1.848445629138322,whisper_price
2023-09-11,Papua New Guinea,0.017127350000000003,whisper_price
2023-09-11,Paraguay,9.878282539569161,whisper_price
2023-09-11,Peru,8.081239402962018,whisper_price
2023-09-11,Philippines,0.16664906666666668,whisper_price
2023-09-11,Poland,0.030448822916666663,whisper_price
2023-09-11,Portugal,0.19153223333333333,whisper_price
2023-09-11,Puerto Rico,0.013681450000000001,whisper_price
2023-09-11,Qatar,0.020431550000000003,whisper_price
2023-09-11,Romania,0.16679723367346938,whisper_price
2023-09-11,Russian Federation,0.4371479286848073,whisper_price
2023-09-11,Saint Pierre and Miquelon,0.0066009166666666655,whisper_price
2023-09-11,Samoa,0.01789205,whisper_price
2023-09-11,San Marino,0.005689466666666667,whisper_price
2023-09-11,Sao Tome and Principe,0.01568048333333333,whisper_price
2023-09-11,Saudi Arabia,0.003638266666666667,whisper_price
2023-09-11,Senegal,0.0068800499999999995,whisper_price
2023-09-11,Singapore,0.08320723333333332,whisper_price
2023-09-11,Sint Maarten (Dutch part),0.01127805,whisper_price
2023-09-11,Somalia,0.01083735,whisper_price
2023-09-11,South Africa,0.4396898666666667,whisper_price
2023-09-11,South Sudan,0.013139591836734696,whisper_price
2023-09-11,Spain,25.50359058748583,whisper_price
2023-09-11,Sri Lanka,0.07535834523809525,whisper_price
2023-09-11,Sudan,0.025720483333333332,whisper_price
2023-09-11,Suriname,0.00037535,whisper_price
2023-09-11,Sweden,0.04154393333333334,whisper_price
2023-09-11,Switzerland,0.11939046666666665,whisper_price
2023-09-11,Taiwan,0.014312316666666667,whisper_price
2023-09-11,Tajikistan,0.006156533333333333,whisper_price
2023-09-11,Tanzania,0.066176,whisper_price
2023-09-11,Thailand,0.0145607,whisper_price
2023-09-11,Togo,0.20489976666666668,whisper_price
2023-09-11,Tonga,0.00401935,whisper_price
2023-09-11,Trinidad and Tobago,0.004959566666666667,whisper_price
2023-09-11,Turkey,0.012325183333333333,whisper_price
2023-09-11,Tuvalu,0.01302639455782313,whisper_price
2023-09-11,Ukraine,0.00325935,whisper_price
2023-09-11,United Arab Emirates,0.16776295,whisper_price
2023-09-11,United Kingdom,0.5406018360544218,whisper_price
2023-09-11,United States,3.6544845384353746,whisper_price
2023-09-11,Uruguay,17.905284605002834,whisper_price
2023-09-11,Venezuela,15.210485476941608,whisper_price
2023-09-11,Viet Nam,0.051754049999999996,whisper_price
2023-09-12,Afghanistan,0.058551936734693874,whisper_price
2023-09-12,Albania,0.0019112000000000005,whisper_price
2023-09-12,Algeria,0.01800631666666667,whisper_price
2023-09-12,Andorra,0.09707825,whisper_price
2023-09-12,Angola,0.01340712335600907,whisper_price
2023-09-12,Antigua and Barbuda,0.015621133333333334,whisper_price
2023-09-12,Argentina,150.10039673836533,whisper_price
2023-09-12,Aruba,0.0161027,whisper_price
2023-09-12,Australia,0.2126051,whisper_price
2023-09-12,Austria,0.0020040500000000003,whisper_price
2023-09-12,Azerbaijan,0.019450933333333337,whisper_price
2023-09-12,Barbados,0.004701783333333333,whisper_price
2023-09-12,Belgium,0.03308696666666666,whisper_price
2023-09-12,Benin,0.06005831666666667,whisper_price
2023-09-12,Bolivia,1.8348306675311794,whisper_price
2023-09-12,Bonaire,0.020739833333333332,whisper_price
2023-09-12,Bosnia and Herzegovina,0.00290405,whisper_price
2023-09-12,Brazil,9.256929059048186,whisper_price
2023-09-12,Bulgaria,0.0070078833333333335,whisper_price
2023-09-12,Burkina Faso,0.277622866553288,whisper_price
2023-09-12,Cameroon,0.15061484614512471,whisper_price
2023-09-12,Canada,0.28890469206349206,whisper_price
